id,"name","odptrailway","created_at","updated_at"
54,"京王新線","odpt.Railway:Keio.KeioNew","2019-11-30 14:04:25","2019-11-30 14:04:25"
55,"京王線","odpt.Railway:Keio.Keio","2019-11-30 14:04:25","2019-11-30 14:04:25"
56,"相模原線","odpt.Railway:Keio.Sagamihara","2019-11-30 14:04:25","2019-11-30 14:04:25"
57,"千代田線","odpt.Railway:TokyoMetro.Chiyoda","2019-11-30 14:04:25","2019-11-30 14:04:25"
58,"高尾線","odpt.Railway:Keio.Takao","2019-11-30 14:04:25","2019-11-30 14:04:25"
59,"大師線","odpt.Railway:Tobu.Daishi","2019-11-30 14:04:25","2019-11-30 14:04:25"
60,"伊勢崎線","odpt.Railway:Tobu.Isesaki","2019-11-30 14:04:25","2019-11-30 14:04:25"
61,"亀戸線","odpt.Railway:Tobu.Kameido","2019-11-30 14:04:25","2019-11-30 14:04:25"
62,"鬼怒川線","odpt.Railway:Tobu.Kinugawa","2019-11-30 14:04:25","2019-11-30 14:04:25"
63,"北陸新幹線","odpt.Railway:JR-East.HokurikuShinkansen","2019-11-30 14:04:25","2019-11-30 14:04:25"
64,"桐生線","odpt.Railway:Tobu.Kiryu","2019-11-30 14:04:25","2019-11-30 14:04:25"
65,"磐越東線","odpt.Railway:JR-East.BanetsuEast","2019-11-30 14:04:25","2019-11-30 14:04:25"
66,"小泉線(東小泉-太田)","odpt.Railway:Tobu.KoizumiBranch","2019-11-30 14:04:25","2019-11-30 14:04:25"
67,"小泉線","odpt.Railway:Tobu.Koizumi","2019-11-30 14:04:25","2019-11-30 14:04:25"
68,"日光線","odpt.Railway:Tobu.Nikko","2019-11-30 14:04:25","2019-11-30 14:04:25"
69,"飯山線","odpt.Railway:JR-East.Iiyama","2019-11-30 14:04:25","2019-11-30 14:04:25"
70,"越生線","odpt.Railway:Tobu.Ogose","2019-11-30 14:04:25","2019-11-30 14:04:25"
71,"佐野線","odpt.Railway:Tobu.Sano","2019-11-30 14:04:25","2019-11-30 14:04:25"
72,"東武スカイツリーライン(押上-曳舟)","odpt.Railway:Tobu.TobuSkytreeBranch","2019-11-30 14:04:25","2019-11-30 14:04:25"
73,"東武スカイツリーライン","odpt.Railway:Tobu.TobuSkytree","2019-11-30 14:04:25","2019-11-30 14:04:25"
74,"東武アーバンパークライン","odpt.Railway:Tobu.TobuUrbanPark","2019-11-30 14:04:25","2019-11-30 14:04:25"
75,"東上線","odpt.Railway:Tobu.Tojo","2019-11-30 14:04:25","2019-11-30 14:04:25"
76,"宇都宮線","odpt.Railway:Tobu.Utsunomiya","2019-11-30 14:04:25","2019-11-30 14:04:25"
77,"副都心線","odpt.Railway:TokyoMetro.Fukutoshin","2019-11-30 14:04:25","2019-11-30 14:04:25"
78,"銀座線","odpt.Railway:TokyoMetro.Ginza","2019-11-30 14:04:25","2019-11-30 14:04:25"
79,"半蔵門線","odpt.Railway:TokyoMetro.Hanzomon","2019-11-30 14:04:25","2019-11-30 14:04:25"
80,"日比谷線","odpt.Railway:TokyoMetro.Hibiya","2019-11-30 14:04:25","2019-11-30 14:04:25"
81,"丸ノ内線支線","odpt.Railway:TokyoMetro.MarunouchiBranch","2019-11-30 14:04:25","2019-11-30 14:04:25"
82,"石巻線","odpt.Railway:JR-East.Ishinomaki","2019-11-30 14:04:25","2019-11-30 14:04:25"
83,"丸ノ内線","odpt.Railway:TokyoMetro.Marunouchi","2019-11-30 14:04:25","2019-11-30 14:04:25"
84,"南北線","odpt.Railway:TokyoMetro.Namboku","2019-11-30 14:04:25","2019-11-30 14:04:25"
85,"東西線","odpt.Railway:TokyoMetro.Tozai","2019-11-30 14:04:25","2019-11-30 14:04:25"
86,"有楽町線","odpt.Railway:TokyoMetro.Yurakucho","2019-11-30 14:04:25","2019-11-30 14:04:25"
87,"グリーンライン","odpt.Railway:YokohamaMunicipal.Green","2019-11-30 14:04:25","2019-11-30 14:04:25"
88,"りんかい線","odpt.Railway:TWR.Rinkai","2019-11-30 14:04:25","2019-11-30 14:04:25"
89,"ゆりかもめ","odpt.Railway:Yurikamome.Yurikamome","2019-11-30 14:04:25","2019-11-30 14:04:25"
90,"いずみ野線","odpt.Railway:Sotetsu.Izumino","2019-11-30 14:04:25","2019-11-30 14:04:25"
